org.apache.commons.math4.genetics:BinaryMutation:mutate:Chromosome#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.geometry.spherical.twod:S2Point:vector:double+double#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.ode.sampling:AbstractStepInterpolator:getPreviousTime:null#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.fitting.leastsquares:LevenbergMarquardtOptimizer:getRankingThreshold:null#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.geometry.euclidean.threed:FieldVector3D:scalarMultiply:T#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.random:EmpiricalDistribution:findBin:double#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.distribution:ConstantRealDistribution:getSupportLowerBound:null#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.dfp:Dfp:trap:int+String+Dfp+Dfp+Dfp#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.linear:AbstractFieldMatrix:setRowMatrix:int+FieldMatrix<T>#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.linear:BlockRealMatrix:setColumnMatrix:int+RealMatrix#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.stat.descriptive:SynchronizedMultivariateSummaryStatistics:getMax:null#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.linear:Array2DRowRealMatrix:walkInColumnOrder:RealMatrixPreservingVisitor#[0.00, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.util:Decimal64:log10:null#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.stat.inference:KolmogorovSmirnovTest:hasTies:double[]+double[]#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.analysis.polynomials:PolynomialsUtils:buildPolynomial:int+List<BigFraction>+RecurrenceCoefficientsGenerator#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.util:FastMathCalc:splitAdd:double+double+double#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.ode.events:FieldEventState:getConvergence:null#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
org.apache.commons.math4.distribution:NormalDistribution:getStandardDeviation:null#[0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00]
